"Bank Prepayment","Převod na účet"
"Pay within X days","Zaplaťe během X dní"
"Please transfer the money within %s days to the following bank account","Převeďte prosím částku na následující bankovní účet během %s dní."
"Please transfer the money to the following bank account","Převeďte prosím částku na následující bankovní účet."
"Account holder","Majitel účtu"
"Account number","Číslo účtu"
"Sort code","Kód banky"
"Bank name","Název banky"
"For international transfers please use also following data","Pro mezinárodní převod částky použijte prosím následující údaje."
"IBAN","IBAN"
"BIC","BIC"
"Account info","Informace o účtu"
"International","Mezinárodní"
"Custom text","Další informace"
"Variable symbol","Variabilní symbol"
"Will be send","Je shodný s číslem objednávky (bude zaslán emailem)."
