" Copy"," Kopírovať"
"Enter email address","Vložte e-mail"
"Action","Akcia"
"Add New Template","Pridať novú šablónu"
"Add to Queue","Pridať do fronty"
"Allow Guest Subscription","Povoliť odber hosťom"
"An error occurred while saving your subscription.","Pri ukladaní odberu došlo k chybe."
"Are you sure that you want to delete this template?","Naozaj chcete zmazať túto šablónu?"
"Are you sure that you want to strip all tags?","Naozaj chcete odobrať všetky štítky?"
"Back","Späť"
"Cancel","Zrušiť"
"Cancelled","Zrušené"
"Cannot mark as received subscriber.","Nie je možné označiť ako prijatého odberateľa."
"Confirmation Email Sender","Odosielateľ potvrdzujúceho e-mailu"
"Confirmation Email Template","Šablóna potvrdzujúceho e-mailu"
"Confirmation request has been sent.","Žiadosť o potvrdenie bola odoslaná."
"Convert to Plain Text","Previesť na obyčajný text"
"Create Newsletter Template","Vytvoriť šablónu spravodaja"
"Customer","Zákazník"
"Customer First Name","Meno zákazníka"
"Customer Last Name","Priezvisko zákazníka"
"Customer My Account Newsletter Subscriptions","Zákaznícky účet - Odbery spravodaja"
"Date Added","Dátum pridania"
"Date Updated","Dátum aktualizácie"
"Delete","Zmazať"
"Delete Selected Problems","Zmazať vybraté problémy"
"Delete Template","Zmazať šablónu"
"Do you really want to cancel the queue?","Naozaj chcete zrušiť frontu?"
"Duplicate template code.","Duplikovať kód šablóny."
"Edit Newsletter","Editovať spravodaj"
"Edit Newsletter Template","Editovať šablónu spravodaja"
"Edit Queue","Editovať frontu"
"Edit Template","Editovať šablónu"
"Email","E-mail"
"Enter your email address","Vložte Vašu emailovú adresu"
"Enter your email address...","Vložte Vašu emailovú adresu..."
"Error Code","Kód chyby"
"Error Text","Text chyby"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Kliknite na tento odkaz pre odhlásenie z odoberú noviniek <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Hosť"
"ID","ID"
"Invalid queue selected.","Zvolená neplatná fronta."
"Invalid subscription ID.","Neplatné ID odberateľa."
"Invalid subscription confirmation code.","Neplatný potvrdzovací kód prihlásenia."
"Message","Správa"
"Need to Confirm","Vyžadovať potvrdenie"
"New Newsletter Template","Nová šablóna spravodaja"
"New Template","Nová šablóna"
"Newsletter","Spravodaj"
"Newsletter Message Preview","Náhľad textu spravodaja"
"Newsletter Problem Reports","Report problémov Spravodaja"
"Newsletter Queue","Fronta spravodaja"
"Newsletter Section","Spravodaje"
"Newsletter Sign-up:","Odber noviniek"
"Newsletter Styles","Šablóny spravodaja"
"Newsletter Subscribers","Odberatelia spravodaja"
"Newsletter Subscription","Odbery spravodaja"
"Newsletter Subscription Form Before",""
"Newsletter Subscriptions","Odbery spravodajov"
"Newsletter Templates","Šablóny spravodaja"
"Newsletter subscription confirmation","Potvrdenie odberu spravodaja"
"Newsletter subscription success","Úspešné prihlásenie k odberu spravodaja"
"Newsletter unsubscription success","Úspešné odhlásenie z odberu spravodaja"
"No Templates Found","Žiadne šablóny"
"No problems found.","Žiadne problémy."
"No subscribers selected.","Neboli vybratí žiadni odberatelia."
