"%s - Discounts and Coupons","%s - Zľavy a kupóny"
"%s - Special Products","%s - Špeciálne produkty"
"%s RSS Feed","%s RSS kanál"
"%s has reached a quantity of %s.","%s dosiahlo množstvo %s."
"%s's Wishlist","Zoznam prianí: %s"
"Cannot retrieve the wishlist","Nemôžem získať zoznam prianí"
"Catalog","Katalóg"
"Category Feeds","Kategórie zdrojov"
"Click for price",""
"Comment: %s<br/>","Komentár: %s<br/>"
"Coupons/Discounts","Kupóny/Zľavy"
"Current Status: %s<br/>","Aktuálny stav: %s<br/>"
"Customer Name: %s","Meno zákazníka: %s"
"Customer Order Status Notification","Upozornenie na stav objednávky zákazníka"
"Details for %s #%s","Detaily pre %s #%s"
"Discount","Zľava"
"Discount (%s)","Zľava (%s)"
"Enable RSS","Povoliť RSS"
"Error in processing xml. %s","Chyba pri spracovaní xml. %s"
"From:","Od:"
"Get Feed","Získať kanál"
"Gift Message","Darčekový odkaz"
"Grand Total","Celkový súčet"
"Low Stock Products","Nízky stav produktov"
"Message:","Správa:"
"Miscellaneous Feeds","Ostatné zdroje"
"New Orders","Nové objednávky"
"New Products","Nové produkty"
"New Products from %s","Nové produkty od %s"
"Notified Date: %s<br/>","Dátum upozornenia: %s<br/>"
"Order # %s Notification(s)","Oznámenie objednávky %s"
"Order #%s created at %s","Objednávka č.%s bola vytvorená %s"
"Pending product review(s)","Neschválené recenzie produktov"
"Product: ""%s"" review By: %s","Produkt: ""%s"" recenzovaný: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkty označené s %s"
"Purchased From: %s","Kúpené od: %s"
"RSS","RSS"
"RSS Feeds","RSS kanály"
"RSS Feeds List","Zoznam RSS kanálov"
"Review: %s <br/>","Recenzia: %s <br/>"
"Rss Config","Nastavenie RSS"
"Rss Feeds Section","Sekcia RSS kanálov"
"Shipping &amp; Handling","Poštovné a balné"
"Special Products","Špeciálne produkty"
"Store: %s <br/>","Obchod: %s <br/>"
"Subtotal","Medzisúčet"
"Summary of review: %s <br/>","Zhrnutie recenzie: %s <br/>"
"Tags Products","Štítky produktov"
"Tax","Daň"
"There are no Rss Feeds","Tu nie sú RSS kanály"
"To:","Pre:"
"Top Level Category","Najvyššia úroveň kategórie"
"Total: %s<br/>","Spolu: %s<br/>"
"Wishlist","Zoznam prianí"
"click <a href=""%s"">here</a> to view the review","kliknite <a href=""%s"">tu</a> pre zobrazenie recenzie"
