"Mass Product Linker Options","Súvisiace produkty"
"Specify here which mass actions provided by Mass Product Linker extension should be available in the 'Manage Products' grid:","Specify here which mass actions provided by Mass Product Linker extension should be available in the 'Manage Products' grid:"
"Cross-sell to each other","Cross-sell to each other"
"Add cross-selling...","Add cross-selling..."
"Stop cross-selling to each other","Stop cross-selling to each other"
"Completely remove cross-selling","Completely remove cross-selling"
"Up-sell to each other","Up-sell to each other"
"Add up-selling...","Add up-selling..."
"Stop up-selling to each other","Stop up-selling to each other"
"Completely remove up-selling","Completely remove up-selling"
"Product IDs","Product IDs"
"Relate to each other","Relate to each other"
"Relate to...","Relate to..."
"Stop relating to each other","Stop relating to each other"
"Completely remove relating","Completely remove relating"
"Please select at least one product.","Please select at least one product."
"Please select at least two products.","Please select at least two products."
"Too many products selected. Please select 50 or less.","Bolo vybraných príliš veľa produktov. Prosím, vyberte 50 alebo menej. "
"Please enter at least one product to link to. Enter product IDs (not SKUs) delimited by commas.","Zadajte prosím aspoň jeden produkt k prepojeniu. Zadajte ID produktu (nie SKU) oddelené čiarkou. "
"Successfully removed cross-selling links from %d products.","Successfully removed cross-selling links from %d products."
"Successfully removed cross-selling links to each other from %d products (total: %d removed links).","Successfully removed cross-selling links to each other from %d products (total: %d removed links)."
"Successfully linked %d products for cross-selling to each other (%d new links, %d already existed).","Successfully linked %d products for cross-selling to each other (%d new links, %d already existed)."
"Successfully linked %d product(s) for cross-selling to %d other product(s) (%d new links, %d already existed).","Successfully linked %d product(s) for cross-selling to %d other product(s) (%d new links, %d already existed)."
"Successfully removed up-selling links from %d products.","Successfully removed up-selling links from %d products."
"Successfully removed up-selling links to each other from %d products (total: %d removed links).","Successfully removed up-selling links to each other from %d products (total: %d removed links)."
"Successfully linked %d products for up-selling to each other (%d new links, %d already existed).","Successfully linked %d products for up-selling to each other (%d new links, %d already existed)."
"Successfully linked %d product(s) for up-selling to %d other product(s) (%d new links, %d already existed).","Successfully linked %d product(s) for up-selling to %d other product(s) (%d new links, %d already existed)."
"Successfully removed links to related products from %d products.","Successfully removed links to related products from %d products."
"Successfully un-related %d products to each other (total: %d removed links).","Successfully un-related %d products to each other (total: %d removed links)."
"Successfully related %d products to each other (%d new links, %d already existed).","Successfully related %d products to each other (%d new links, %d already existed)."
"Successfully related %d product(s) to %d other product(s) (%d new links, %d already existed).","Successfully related %d product(s) to %d other product(s) (%d new links, %d already existed)."
