"Alert Email Sender","Odosielateľ varovného emailu"
"Alert subscription has been saved.","Odober varovania bol úspešne uložený."
"Allow Alert When Product Comes Back in Stock","Povoliť upozornenie, keď sa produkt vráti späť na sklad"
"Allow Alert When Product Price Changes","Povoliť upozornenie, ak sa zmenila cena produktu"
"Click here not to receive alerts for this product","Kliknite tu, ak si neželáte prijímať upozornenia o tomto produkte"
"Error Email Recipient","Chyba E-mailového príjemcu"
"Error Email Sender","Chyba E-mailového odosielateľa"
"Error Email Template","Chyba v emailovej šablóne"
"Frequency","Frekvencia"
"Not enough parameters.","Nie je dostatok parametrov."
"Price Alert Email Template","Šablóna emailu cenového upozornenia"
"Price:","Cena:"
"Product Alerts","Výstrahy pre produkt"
"Product Alerts Run Settings","Nastavenie behu produktového upozorňovania"
"Product alerts Cron error","Chyba Cron-u pri produktovom upozorňovaní"
"Product price alert","Upozornenie na cenu produktu"
"Product stock alert","Upozornenie na stav skladu produktu"
"Regular Price:","Bežná cena:"
"Sign up for price alert","Odoberať upozornenia na cenu"
"Sign up to get notified when this product is back in stock","Odoberať upozornenie ak je tovar opäť skladom"
"Special price:","Špeciálna cena:"
"Start Time","Čas začatia"
"Stock Alert Email Template","Šablóna emailu skladového oznámenie"
"The alert subscription has been deleted.","Odoberanie varovania úspešne vymazané."
"The alert subscription has been saved.","Odoberanie varovania úspešne uložené."
"The product is not found.","Produkt nenájdený."
"The product was not found.","Produkt nenájdený."
"Unable to update the alert subscription.","Nepodarilo sa aktualizovať varovania."
"Unsubscribe from all price alerts","Odhlásiť zo všetkých cenových upozornení"
"Unsubscribe from all stock alerts","Odhlásiť zo všetkých skladových upozornení"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržali ste túto správu preto, že ste sa prihlásil k odberu upozornení ak bude tovar opäť na sklade:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržali ste túto správu preto, že ste chceli byť upozornený, ak dôjde ku zmene ceny nasledujúcich produktov:"
"You will no longer receive price alerts for this product.","Nebudete už viac prijímať cenové upozornenia pre tento produkt."
"You will no longer receive stock alerts for this product.","Nebudete už viac prijímať upozornenia o skladových zásobách pre tento produkt."
"You will no longer receive stock alerts.","Nebudete už viac prijímať upozornenia o skladových zásobách."
