"* Select shipping method","* Vyberte spôsob doručenia"
"<br />Warning: <strong>%s</strong><br />","<br />Upozornenie: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.",""
"A virtual item to reflect the discount total","Virtuálna položka zobrazujúca celkovú zľavu"
"A virtual item to reflect the tax total","Virtuálna položka zobrazujúca celkovú daň"
"AVS Status: %s","AVS stav: %s"
"Add","Pridať"
"Add Shipping Method","Pridať metódu doručenia"
"Allowed Methods","Povolené metódy"
"Amount: %s","Množstvo: %s"
"Auto-generated from GoogleCheckout Charge","Automaticky vygenerované z GoogleCheckout Charge"
"Buyer Account Age: %s days","Vek účtu kupujúceho: %s days"
"CC Partial: xxxx-%s","Kreditná karta: xxxx-%s"
"CID Status: %s","Stav CID: %s"
"Carrier Calculated Methods","Metóda výpočtu prepravcu"
"Cart Discount","Zľava košíka"
"Checkout Image Style","Kontrolný obrázkový štýl"
"Continue Shopping URL","Pokračovať v nákupe URL"
"Credit memo has been created automatically",""
"Debug","Ladenie"
"Default Package Height (in)","Predvolená výška balíka"
"Default Package Length (in)","Predvolená dĺžka balíka"
"Default Package Width (in)","Predvolená šírka balíka"
"Default Price for Methods","Predvolená cena pre metódy"
"Default price:","Predvolená cena:"
"Delivery Address Category","Kategória adresy doručenia"
"Delivery Schedule","Plán doručenia"
"Disable Default Tax Tables","Vypnúť predvolenú tabuľku daní"
"Discount Tax","Daňová zľava"
"Eligible for Protection: %s","Oprávnené pre ochranu: %s"
"Enable","Povoliť"
"Enable Carrier Calculated","Povoliť výpočet dopravy"
"Enable Digital Delivery","Povoliť elektronické doručenie"
"Enable Flat Rate","Povoliť paušálne sadzby"
"Enable Merchant Calculated","Povoliť výpočet provízie"
"Enable this if your checkout request is too big and being cut off.","Povoľte túto možnosť, ak je Vaša objednávka príliš veľká a môže byť rozdelená."
"Expiration: %s","Vyprší: %s"
"Financial: %s -> %s","Financie: %s -> %s"
"Free Shipping","Doprava zadarmo"
"Fulfillment: %s -> %s","Plnenie: %s -> %s"
"Google API","Google API"
"Google Authorization:","Autorizácia Google:"
"Google Buyer ID: %s","Google kupujúci ID: %s"
"Google Charge:","Google poplatok:"
"Google Chargeback:","Google poplatok:"
"Google Checkout","Google kontrola"
"Google Checkout Shipping - Carrier Calculated","Google kontrola prepravy - Výpočet prepravy"
"Google Checkout Shipping - Digital Delivery","Google kontrola prepravy - elektronické doručenie"
"Google Checkout Shipping - Flat Rate","Google kontrola prepravy - paušálnej sadzby"
"Google Checkout Shipping - Merchant Calculated","Google kontrola prepravy - Kalkulácia provízie"
"Google Checkout: %s","Google kontrola: %s"
"Google Order Number: %s","Google číslo objednávky: %s"
"Google Order Status Change:","Google stav objednávky zmenený:"
"Google Refund:","Google vrátenie peňazí:"
"Google Risk Information:","Google rizikovosť:"
"Hide Cart Contents","Skryť obsah košíka"
"IP Address: %s","IP Adresa: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Ak je povolené, obsah košíka bude skrytý po kliknutí na tlačidlo Google Checkout v nákupnom košíku a obnovený keď ""Edit Cart"" odkaz bude aktivovaný."
"Invoice Auto-Created: %s","Automaticky vytvorená faktúra: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Je kupujúci ochotný prijímať marketingové e-maily: %s"
"Large - %s","Velký - %s"
"Latest Charge: %s","Posledná zmena: %s"
"Latest Chargeback: %s","Posledná zmena: %s"
"Latest Refund: %s","Posledné vrátenie peňazí: %s"
"Location","Umiestnenie"
"Medium - %s","Stredná - %s"
"Merchant ID","ID obchodníka"
"Merchant Key","Kľúč obchodníka"
"Method","Spôsob"
"New Order Status","Nový stav objednávky"
"No","Nie"
"Optional, leave empty for home page.","Voliteľné, ponechajte prázdne pre domovskú stránku."
"Rate 1 Amount","Sadzba 1 množstvo"
"Rate 1 Ship To Applicable Countries","Sadzba 1 doručiť do povolených krajín"
"Rate 1 Ship to Specific Countries","Sadzba 1 do špecifických krajín"
"Rate 1 Title","Sazba 1 nadpis"
"Rate 2 Amount","Sadzba 2 množstvo"
"Rate 2 Ship To Applicable Countries","Sadzba 2 doručiť do povolených krajín"
"Rate 2 Ship to Specific Countries","Sadzba 2 do špecifických krajín"
"Rate 2 Title","Sazba 2 nadpis"
"Rate 3 Amount","Sadzba 3 množstvo"
"Rate 3 Ship To Applicable Countries","Sadzba 3 doručiť do povolených krajín"
"Rate 3 Ship to Specific Countries","Sadzba 3 do špecifických krajín"
"Rate 3 Title","Sazba 3 nadpis"
"Remove","Odstrániť"
"Required for live Google Checkout transactions.","Vyžadované pre živé Google Checkout transakcie."
"Sandbox","Sandbox"
"Secure Callback URL","Zabezpečená spätná URL"
"Small - %s","Malý - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount",""
"Title","Titulok"
"Total Chargeback: %s","Celkom účtované: %s"
"Total Charged: %s","Celkom účtované: %s"
"Total Refunded: %s","Celkom refundované: %s"
"Transparent","Transparentné"
"United Kingdom","Veľká Británia"
"United States","Spojené štáty americké"
"White Background","Biele pozadie"
"Yes","Áno"
"You will be redirected to GoogleCheckout in a few seconds.","Behom niekoľkých sekúnd budete presmerovaný na Google Checkout."
"Virtual item to reflect discount total","Virtuálna položka zobrazujúca celkovú zľavu"
