"Add","Pridať"
"Add gift message for shopping cart","Pridať darčekový odkaz k nákupnému košíku"
"Add gift messages for quote item of shopping cart","Pridať darčekový odkaz k časti položiek v nákupnom košíku"
"Add gift messages to products of shopping cart","Pridať darčekový odkaz k produktu v nákupnom košíku"
"Add gift options","Pridať možnosti k darčekovým odkazom"
"Add gift options for Individual Items","Pridať možnosti darčekových odkazov pre jednotlivé položky"
"Add gift options for the Entire Order","Pridať darčekové prianie k objednávke"
"Add gift options.","Pridať možnosti k darčekovým odkazom"
"Allow Gift Messages for Order Items","Povoliť darčekové odkazy pre objednané položky"
"Allow Gift Messages on Order Level","Povoliť darčekové odkazy pre objednávku"
"An error occurred while saving the gift message.","Chyba pri ukládání darčekových odkazov."
"Are you sure?","Ste si istý?"
"Cancel","Zrušiť"
"Do you have any gift items in your order?","Máte v objednávke nejaké darčekové položky?"
"Edit","Editovať"
"From","Od"
"Gift Message","Darčekový odkaz"
"Gift Message API","API darčekové odkazy"
"Gift Options","Možnosti darčekových odkazov"
"Gift Options for","Možnosti darčekových odkazov pre"
"Gift Options for Individual Items","Možnosti darčekových odkazov pre jednotlivé položky"
"Gift Options for the Entire Order.","Možnosti darčekových odkazov pre celú objednávku"
"Gift Options for this address.","Možnosti darčekových odkazov pre túto adresu"
"Item %d of %d","Položka %d z %d"
"Message","Správa"
"No","Nie"
"OK","OK"
"Save Gift Message","Uložiť darčekový odkaz"
"The gift message has been removed","Váš darčekový odkaz bol úspešne odobraný."
"The gift message has been saved","Váš darčekový odkaz bol úspešne uložený"
"The gift message has been saved.","Váš darčekový odkaz bol úspešne uložený."
"To","Pre"
"Unknown entity type","Neznámy typ entity"
"Use config","Použite nastavenia"
"Yes","Áno"
"You can leave this box blank if you do not wish to add a gift message for the item.","Ak si neprajete pridať darčekový odkaz pre túto položku, nechajte pole prázdne."
"You can leave this box blank if you do not wish to add a gift message for this address.","Ak si neprajete pridať darčekový odkaz pre túto adresu, nechajte pole prázdne."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Ak si neprajete pridať darčekový odkaz pre celú túto objednávku, nechajte pole prázdne."
"Check this checkbox if you want to add gift messages to your items.","#~ ""Začiarknite toto pole ak chcete pridať darčekové odkazy k Vašim položkám."""
"Check this checkbox if you want to add gift messages.","Začiarknite toto pole ak chcete pridať darčekové odkazy."
"Enter a gift message for each item in your order.","Vložte darčekový odkaz pre vybranú položku z Vašej objednávky."
"Enter a gift message for entire order.","Vložte darčekový odkaz pre Vašu objednávku."
"Enter a gift message for this address.","Vložte darčekový odkaz pre túto adresu."
