" was not delivered nor scanned"," nebol dodaný ani zoskenovaný"
"1 Day Freight","Dodanie v nasledujúci deň"
"2 Day","2 dni"
"2 Day Freight","Dodanie do dvoch dní"
"2Day","Dva dni"
"2nd Day Air","Dva dni letecky"
"2nd Day Air AM","Dva dni letecky - AM"
"2nd Day Air AM Letter","Dva dni letecky - AM dopis"
"2nd Day Air Letter","Dva dni letecky - dopis"
"3 Day Freight","Dodanie do troch dní"
"3 Day Select","Dodanie do troch dní"
"Access ID","ID prístupu"
"Access License Number","Prístupové číslo licencie"
"Account ID","ID účtu"
"Account Number","Číslo účtu"
"Additional Protection Configuration Value","Nastavenie ďalších hodnôt ochrany"
"Additional Protection Enabled","Zapnúť ďalšiu ochranu"
"Additional Protection Min Subtotal","Minimálna suma pre ďalšiu ochranu"
"Additional Protection Value","Hodnota ďalšej ochrany"
"Additional Protection Value Rounding Method","Zaokrúhľovacia metóda ďalšej ochrany"
"Adult",""
"Adult Signature Required",""
"Allowed Methods","Povolené metódy"
"Bound Printed Matter","Okraje tlače"
"Business Service Center","Centrum podnikateľských služieb"
"Calculate Handling Fee","Vypočítať manipulačný poplatok"
"Canada Standard","Štandard Kanada"
"Cannot retrieve shipping rates","Nedostupné sadzby doručenia"
"Commercial","Obchodné"
"Configuration","Konfigurácia"
"Container","Prepravný obal"
"Customer Packaging","Vaše balenie"
"Customer Supplied Package",""
"DHL","DHL"
"Debug","Debug"
"Default Package Height","Predvolená výška balíka"
"Default Package Length","Predvolená dĺžka balíka"
"Default Package Width","Predvolená šírka balíka"
"Delivered","Dodané"
"Delivery Confirmation",""
"Destination Type","Miesto určenia"
"Development","Vývoj"
"Direct",""
"Displayed Error Message","Zobrazené chybové správy"
"Documents",""
"Domestic Shipment Days","Deň dodania - vnútroštátne"
"Drop Box","Poštová schránka"
"Dropoff","Pokles"
"Empty response","Žiadna odpoveď"
"Enable Negotiated Rates","Povoliť zmluvné sadzby"
"Enabled for Checkout",""
"Enables/Disables SSL verification of Magento server by UPS.","Zapína / vypína SSL overovania servera Magento v UPS"
"Error #%s : %s (%s)","Chyba č.%s : %s (%s)"
"Error #%s: %s","Chyba č.%s: %s"
"Europe First Priority","Najdôležitejší európsky cieľ"
"Express","Expresne"
"Express 10:30 AM","Expresne 10:30 dopoludnia"
"Express Mail","Expresný Mail"
"Express Saturday","Expresne v sobotu"
"Express Saver","Expresná úspora"
"Failed to parse xml document: %s","Nepodarilo sa spracovať XML dokument: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx box"
"FedEx Envelope","FedEx obálka"
"FedEx Pak","FedEx balík"
"FedEx Tube","FedEx Tube"
"First Overnight","V noci"
"First-Class","Prvou triedou"
"Flat","Priamo"
"Flat-Rate Box","Paušálna sadzba - box"
"Flat-Rate Envelope","Paušálna sadzba - obálka"
"Free Method","Bezplatne"
"Free Shipping with Minimum Order Amount","Doručenie zadarmo pri minimálnom množstve objednávky"
"Freight",""
"Gateway URL","URL brány"
"Gateway XML URL","XML URL brány"
"Gift",""
"Girth",""
"Ground","Pozemný"
"Ground Commercial","Obchodné miesto"
"Ground Residential","Domácnosť"
"Handling Applied","Použitá manipulácia"
"Handling Fee","Manipulačný poplatok"
"Height",""
"Home Delivery","Doručenie domov"
"Indirect",""
"International Economy","Medzinárodná ekonomika"
"International Express","Medzinárodný expres"
"International First","Najskôr medzinárodne"
"International Ground",""
"International Priority","Mezinárodná priorita"
"International Shipment Days","Medzinárodné dni dodania"
"Intl Economy Freight","Medzinárodná ekonomická doprava"
"Intl Priority Freight","Preferovaná mezinárodní doprava"
"Key",""
"Kilograms","Kilogramy"
"Large","Veľký"
"Large Express Box",""
"Length",""
"Letter","List"
"Library","Knižnica"
"Live","Životnosť"
"Machinable","Strojovo spracovateľný"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximálna hmotnosť balíčka (Konzultujte prosím s Vašim prepravcom)"
"Media Mail","Media Mail"
"Medium Express Box",""
"Merchandise",""
"Meter Number",""
"Minimum Order Amount for Free Shipping","Minimálna objednávka pre doručenie zdarma"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimálna hmotnosť balíčka (Konzultujte prosím s Vašim prepravcom)"
"Mode","Režim"
"National Freight",""
"Next Afternoon","Nasledujúce popoludnie"
"Next Day Air","Zajtra letecky"
"Next Day Air Early AM","Ďalší deň letecky - ráno AM"
"Next Day Air Early AM Letter","Ďalší deň letecky - ráno AM - list"
"Next Day Air Intra (Puerto Rico)","Ďalší deň letecky vnútroštátne (Puerto Rico)"
"Next Day Air Letter","Ďalší deň letecky - list"
"Next Day Air Saver","Ďalší deň úsporne letecky"
"Next Day Air Saver Letter","Další den úsporně letecky - list"
"No","Nie"
"No packages for request",""
"Non-rectangular","Nepravidelný"
"Not Required",""
"Order","Objednávka"
"Origin of the Shipment","Pôvod zásielky"
"Other",""
"PAK",""
