"%d Review(s)","%d recenzie"
"%s Review(s)","%s Recenzií"
"(Posted on %s)","(Odeslané %s)"
"1 star","1 hviezda"
"2 stars","2 hviezdy"
"3 stars","3 hviezdy"
"4 stars","4 hviezdy"
"5 stars","5 hviezd"
"Add New Review","Pridať novú recnziu"
"Add Your Review","Pridajte Vašu recenziu"
"Administrator","Administrátor"
"All Reviews","Všetky recenzie"
"All Reviews of Customer `%s`","Všetky recenzie zákazníkov '%s'"
"Allow Guests to Write Reviews","Povoliť návštevníkom písať recenzie"
"Are you sure you want to do this?","Ste si istí, že to chcete urobiť?"
"Are you sure?","Ste si istí?"
"Average Customer Rating","Priemerné hodnetenie zákazníkmi"
"Average Customer Rating:","Priemerné hodnetenie zákazníkmi:"
"Back","Späť"
"Back to Main Product Info","Návrat k hlavným informáciám o produkte"
"Back to My Reviews","Späť na Moje recenzie"
"Back to Product Reviews","Späť k recenziám produktov"
"Be the first to review this product","Napíše recenziu k tomuto produktu ako prvý"
"Catalog Product Review View","Zobraziť recenzie produktov"
"Catalog Product Reviews List","Zoznam recenzií produktov"
"Created On","Vytvorené"
"Customer","Zákazník"
"Customer My Account Product Reviews","Moje recenzie produktov"
"Customer My Account Review Details","Detaily mojich recenzií"
"Customer Reviews","Zákaznické recenzie"
"Customers Reviews","Zákaznické recenzie"
"Delete","Zmazať"
"Delete Review","Zmazať recenziu"
"Detailed Rating","Podrobné hodnotenie"
"Edit Review '%s'","Editovať recenziu '%s'"
"Guest","Hosť"
"How do you rate this product?","Ako by ste ohodnotili tento produkt?"
"ID","ID"
"Manage Ratings","Správa hodnotení"
"My Product Reviews","Moje recenzie produktov"
"My Recent Reviews","Moje najnovšie recenzie"
"Name","Meno"
"Name in Store","Meno v obchode"
"New Review","Nová recenzia"
"Nickname","Prezývka"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Len registrovaní užívatelia môžu písať recenzie. Prosím <a href=""%s"">prihlaste sa</a> alebo <a href=""%s"">zaregistrujte sa</a>"
"Pending Reviews","Čakajúce recenzie"
"Pending Reviews of Customer `%s`","Čakajúce recenzie od zákazníka '%s'"
"Please select a product","Vyber prosím produkt"
"Please select one of each of the ratings above","Vyber prosím jedno z každého hodnotenia vyššie"
"Posted By","Pridal"
"Price","Cena"
"Product","Produkt"
"Product Name","Názov produktu"
"Product Rating","Hodnotenie produktu"
"Product Rating:","Hodnotenie produktu:"
"Product Review (submitted on %s):","Recenzia produktu (odoslané %s):"
"Product Reviews","Recenzie produktu"
"Product SKU","Kód produktu - SKU"
"Products Reviews","Recenzie produktu"
"Qty","Množstvo"
"Rating:","Hodnotenie:"
"Review","Recenzia"
"Review (submitted on %s):","Recenzia (odoslaná %s):"
"Review Details","Detaily recenzie"
"Review Form Fields Before","Vyplnte pole formulára."
"Review by <span>%s</span>","Recenzie od <span>%s</span>"
"Reviews and Ratings","Recenzie a hodnotenie"
"SKU","Kód - SKU"
"Save Review","Uložiť recenziu"
"Status","Stav"
"Submit Review","Odoslať recenziu"
"Summary Rating","Celkové hodnotenie"
"Summary of Review","Zhrnutie recenzie"
"Summary of Your Review","Nadpis recenzie"
"Title","Nadpis"
"Type","Typ"
"Unable to post the review.","Nie je možné odoslať recenziu."
"Update Status","Stav aktualizácie"
"View All Reviews","Zobraziť všetky recenzie"
"View Details","Zobraziť detaily"
"Visible In","Videteľné v"
"Websites","Webstránky"
"Write Your Own Review","Napíšte vlastnú recenziu"
"You have submitted no reviews.","Nenapísali ste žiadnu recenziu."
"You're reviewing:","Recenzia pre:"
"Your Rating:","Vaše hodnotenie:"
"Your Review (submitted on %s):","Vaše hodnotenie (odoslané %s):"
"Your review has been accepted for moderation.","Vaša recenzia bola prijatá na schválenie."
