"Actions","Akcie"
"Add Answer","Pridať odpoveď"
"Add New Answer","Pridať novú odpoveď"
"Add New Poll","Pridať novú anketu"
"Answer Title","Nadpis odpovede"
"Answer Title:","Nadpis odpovede:"
"Answer with the same title in this poll","Odpoveď pod rovnakým názvom v tejto ankete"
"Are you sure you want to delete it?","Naozaj chcete toto zmazať?"
"Assigned Answers","Priradené odpovede"
"Closed","Uzatvorená"
"Community Poll","Verejná anketa"
"Date Closed","Dátum uzavretia"
"Date Posted","Dátum vytvorenia"
"Delete","Zmazať"
"Delete Answer","Zmazať odpoveď"
"Delete Poll","Zmazať anketu"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Zakázať viacnásobné hlasovanie v ankete z rovnakej IP adresy"
"Edit Answer '%s'","Editovať odpoveď '%s'"
"Edit Poll '%s'","Editovať anketu '%s'"
"Edit Poll Answer","Editovať anketné odpovede"
"ID","ID"
"Invalid Answer.","Neplatná odpoveď."
"New Poll","Nová anketa"
"Number of Responses","Počet odpovedí"
"Open","Otvorená"
"Poll Answers","Anketné odpovede"
"Poll Information","Informácie o ankete"
"Poll Manager","Správa ankiet"
"Poll Question","Anketná otázka"
"Poll information","Informácie o ankete"
"Poll with the same question","Anketa s rovnakou otázkou"
"Polls","Ankety"
"Save Answer","Uložiť odpoveď"
"Save Poll","Uložiť anketu"
"Status","Stav"
"The answer has been saved.","Odpoveď bola úspešne uložená."
"The poll does not exist.","Anketa neexistuje."
"Unable to find an answer to delete.","Nedá sa nájsť odpoveď na odstránenie."
"Visible In","Viditeľné v"
"Vote","Hlasuj"
"Votes Count","Počítadlo hlasov"
"Votes Count:","Počítadlo hlasov:"
