"Add New Row","Pridať nový riadok"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Ako názov súboru odporúčame používať alfanumerické znaky, podčiarkovník,  pomlčku. Nevhodné znaky budú nahradené znakom '_'."
"An error occurred while getting requested content. Please contact the store owner.","Ospravedlňujeme sa, nastala chyba pri požadovanom obsahu. Prosím kontaktujte správcu obchodu."
"An error occurred while getting the requested content.","Ospravedlňujeme sa, nastala chyba pri získavaní požadovaného obsahu."
"An error occurred while getting the requested content. Please contact the store owner.","Ospravedlňujeme sa, nastala chyba pri požadovanom obsahu. Prosím kontaktujte správcu obchodu."
"An error occurred while saving the file(s).","Chyba počas ukladania súboru(ov)."
"Availability:","Dostupnosť:"
"Back","Späť"
"Canceled","Zrušené"
"Cannot connect to remote host, error: %s.","Nedá sa pripojiť k vzdialenému hostiteľovi, chyba: %s."
"Catalog Product View (Downloadable)","Zobrazenie produktov (sťahovateľných)"
"Customer My Account Downloadable Items","Zákaznícke sťahovateľné položky"
"Date","Dátum"
"Default Link Title","Predvolený názov odkazu"
"Default Maximum Number of Downloads","Predvolená hodnota maximálneho počtu stiahnutí"
"Default Sample Title","Predvolený nadpis ukážky"
"Delete","Vymazať"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vypnúť možnosť nákupu hostí pokiaľ košík obsahuje sťahovateľné položky"
"Downloadable Information","Sťahovateľné informácie"
"Downloadable Product","Sťahovateľný produkt"
"Downloadable Product Options","Možnosti sťahovateľného produktu"
"Downloadable product Section","Sekcia sťahovateľného produktu"
"Edit","Upraviť"
"Edit item parameters","Upraviť vlastnosti položky"
"Excl. Tax","Bez dane"
"File","Súbor"
"From:","Od:"
"Gift Message","Darčekový odkaz"
"Go to <a href=""%s"">My Downloadable Products</a>","Prejsť na <a href=""%s"">Moje produkty na stiahnutie</a>"
"Guest checkout will only work with shareable.","Hostia môžu pracovať len so zdieľanými."
"In stock","Skladom"
"Incl. Tax","S daňou"
"Invalid download URL host.","Chybná adresa URL"
"Invalid download URL scheme.","Chybný režim URL."
"Invalid download link type.","Chybný typ odkazu."
"Invoiced","Fakturované"
"Links can be purchased separately","Odkazy je možné zakúpiť samostatne"
"Max. Downloads","Maximum stiahnutí"
"Message:","Správa:"
"Move to Wishlist","Presunúť do zoznamu prianí"
"My Downloadable Products","Moje produkty na stiahnutie"
"Open Links in New Window","Otvoriť odkaz v novom okne"
"Order #","Objednávka č."
"Order Item Status to Enable Downloads","Stav objednávky k umožneniu stiahnutia"
"Order id cannot be null","Id objednávky nemôže byť prázdne"
"Order item id cannot be null","Id položky objednávky nemôže byť prázdne"
"Ordered","Objednané"
"Out of stock","Vypredané"
"Pending","Čakajúci"
"Please log in to download your product.","Prihláste sa pre sťahovanie Vašich produktov."
"Please set resource file and link type.","Prosím nastavte zdrojový súbor a typ odkazu."
"Please specify product link(s).","Špecifikujte odkazy produktu."
"Price","Cena"
"Qty","Množstvo"
"Refunded","Splatené"
"Remaining Downloads","Zostáva k stiahnutiu"
"Remove Item","Odstrániť položku"
"Requested link does not exist.","Požadovaný odkaz neexistuje."
"Sample","Ukážka"
"See price before order confirmation.","Skontrolujte cenu pred potvrdením objednávky."
"Shareable","Zdieľaný"
"Shipped","Odoslané"
"Sort Order","Radenie objednávok"
"Start Download","Začať sťahovanie"
"Status","Stav"
"The file does not exist.","Súbor neexistuje."
"The link has expired.","Odkaz vypršal."
"The link is not available.","Odkaz nie je dostupný."
"Title","Nadpis"
"To:","Do:"
"U","U"
"Unlimited","Neobmedzené"
"Use Content-Disposition",""
"Use Default Value","Použiť predvolenú hodnotu"
"View Order","Zobraziť objednávku"
"What's this?","Čo je to?"
"You have not purchased any downloadable products yet.","Nemáte zakúpené žiadne produkty na stiahnutie."
"attachment","príloha"
"download","stiahnuť"
"inline","inline"
"sample","ukážka"
