"Customer was redirect on service CETELEM","Zákaz ník byl přesměrovaný na službu CETELEM"
"CETELEM: Loan has been preliminarily approved","CETELEM: Úvěr predbežné schválený"
"CETELEM: Loan is assessed","CETELEM: Úvěr se posuzuje"
"CETELEM: Rejected","CETELEM: Úvěr byl zamítnut"
"Customer did not return the correct way from service CETELEM","Zákazník se nevrátil ze služby CETELEM korektní cestou"
"After place the order you are redirected to a form where you can get loan","Po odeslaní objednávky budete přesmerování na formulář, pomocí kterého si můžete objednat úvěr"
"Error payment","Chyba pri platbě CETELEMEM!"
"Payment failed","Platba selhala"
"Please,","Prosím,"
"continue shopping","Pokračujte v nákupu"
"Calculator","Kalkulačka"
"Before submiting it is necessary to confirm the value","Před odeslaním je nutné potvrdit hodnoty"
"Now you can send the value of the company Cetelem","Nyní můžete odoslat hodnoty společnosti Cetelem"
"Product price:","Cena výrobku:"
"Type of loan:","Typ úvěru"
"Type of insurance:","Druh pojištění"
"Direct payment:","Příma platba"
"Number of installments:","Počet splátek"
"Height loan:","Výška úvěru"
"Height installment:","Výška splátky"
"Loan price:","Cena úvěru"
"APR:","RPSN"
"Change parameters","Změna hodnot"
"Recalculate","Prepočítat splátky"
"Confirm parameters","Potvrdit hodnoty"
"Send at CETELEM","Odeslat na CETELEM"
"Parameters is not set correctly:","Hodnoty nejsou korektně vyplněny:"
"Are you sure?:","Jste si jistý?"
"Cetelem WebCalculator","Internetová kalkulačka CETELEM"
"Loan was rejected","Uvěr byl zamítnut"
"Enabled","Povoleno"
"Saler number:","Kód prodejce"
"Saler Number","Kód prodejce"
"Title","Titulek"
"Minimal price","Minimální cena objednávky"
"Test Mode","Testovací mod"
"Form description","Popisek na formuláři"
"Transaction Description","Popisek"
"Rejected text","Text pri odmítnutí"
"Fail text","Text pri selhání"
"Required exist number. If empty value method is not available.","Zadejte číslo opravdového prodejce. Pri prázdné hodnotě nebude platba dostupná."
"Method is available only if total of order will be greater than entered value.","Metoda je dostupná jen tehdy pokud přesáhne cena objednávky vloženou hodnotu."
"Minimal price must be greater or equal than 0","Minimalní cena objednávky musí byť větší nebo rovna nule"
"Saler number not exist.","Kód prodajce neexistuje"
"Cetelem pay in euro. For other currency enter you exchange rate.","V Cetelemu se platí v Eurech. Používáte-li jinou měnu, vepište přepočítavací kurz"
"Minimal rate must be greater than 0","Minimální kurz musí být větší než nula"
"Rate","Kurz"
"Adjournment:","Odklad"
